CP ID,country,region,type,regulator number,name,registrant,application method,formulation,min rate,min rate uom,max rate,Max rate UOM,min days between applications,REI (h),PHI (d)
a1YOF000000i5gj2AA,Canada,,Biological,,RHIZOVITAL 42,ABiTEP GmbH,Furrow,Liquid,0.5,L/ha,0.5,L/ha,,,
a1YOF000000YJ3R2AW,United States,,Biological,,BIODIGESTER,Tainio Biologicals,Adjuvant,Liquid,1.76,oz/acre,10,oz/acre,,,
a1Y4W000004Cz00UAC,United States,,Biological,,DOMINATE,Biorem Inc.,Fertigation,Liquid,,gal/acre,,gal/acre,,,
a1Y4W000004Cz00UAC,United States,,Biological,,DOMINATE,Biorem Inc.,Foliar,Liquid,,gal/acre,,gal/acre,,,
a1Y4W000004Cz00UAC,United States,,Biological,,DOMINATE,Biorem Inc.,Furrow,Liquid,,gal/acre,,gal/acre,,,
a1YOF000000XWHF2A4,United States,,Biological,,ECOBLITZ,EcoStadt Technologies LLC,Foliar,Liquid,1,qt/acre,4,qt/acre,,4,
a1YOF000000WHNV2A4,United States,,Biological,,ECOHALT,EcoStadt Technologies LLC,Adjuvant,Liquid,1,qt/acre,4,qt/acre,,,
a1YOF000000WHSL2A4,United States,,Biological,,ECOWORKS EC,ECOSTADT,Adjuvant,Liquid,1,pt/acre,4,pt/acre,,,
a1YOF000000VfwX2AS,United States,,Biological,,ENVITA SC,Azotic Technologies Ltd.,Foliar,Liquid,0.5,oz/acre,2.5,oz/acre,,,
a1YOF000000VfwX2AS,United States,,Biological,,ENVITA SC,Azotic Technologies Ltd.,Furrow,Liquid,0.8,oz/acre,1,oz/acre,,,
a1YOF000000daOb2AI,United States,,Biological,,GROW-PLEX ORG,Earthgreen,Adjuvant,Liquid,2,oz/acre,4,oz/acre,,,
a1YOF000000WxGH2A0,United States,,Biological,,GROW-PLEX ORG,EarthGreen Product INC,Adjuvant,Liquid,2,fl oz/acre,8,fl oz/acre,,,
a1YOF000000dfZZ2AY,United States,,Biological,,GROW-PLEX ORG LC,SIMPLOT GROWER SOLUTIONS,Foliar,Liquid,0.5,gal/acre,1,gal/acre,,,
a1YOF000000dfZZ2AY,United States,,Biological,,GROW-PLEX ORG LC,SIMPLOT GROWER SOLUTIONS,Furrow,Liquid,1,gal/acre,2,gal/acre,,,
a1YOF000000YJBV2A4,United States,,Biological,,INTERRA BIO LUMINA,AGRO BIO USA,Adjuvant,Liquid,1,qt/acre,2,qt/acre,,,
a1YOF000000XVg92AG,United States,,Biological,,KYTE-GOLD,AGRO Research International,Seed Treatment - Liquid,Liquid,64,fl oz/acre,64,fl oz/acre,,,
a1YOF000000WHLt2AO,United States,,Biological,,OP-8,Tainio Biologicals INC,Adjuvant,Dry,1,lb/acre,2,lb/acre,,,
a1YOF000000WHTx2AO,United States,,Biological,,Pepzyme Clear,Tainio Biologicals INC,Adjuvant,Dry,12.5,oz/acre,12.5,oz/acre,,,
a1YOF000000WHXB2A4,United States,,Biological,,PHYCOTERRA,Heliae Development LLC,Adjuvant,Liquid,1,pt/acre,1,pt/acre,,,
a1YOF000000YJ6f2AG,United States,,Biological,,PROMAX,"BIO HUMA NETICS, INC.",Adjuvant,Liquid,1,gal/acre,1,gal/acre,,,
a1Y4W000003eV3rUAE,United States,,Biological,,Revv-UP,Innvictus Crop Care,Foliar,Liquid,16,oz/acre,32,oz/acre,,,
a1Y4W000003eV3rUAE,United States,,Biological,,Revv-UP,Innvictus Crop Care,Side Dressed,Liquid,16,oz/acre,32,oz/acre,,,
a1YOF000000WHov2AG,United States,,Biological,,SBB 2.5,TERREGENA,Adjuvant,Liquid,1,oz/acre,1,oz/acre,,,
a1YOF000000YJD72AO,United States,,Biological,,SPECTRA,Tidal Grow,Adjuvant,Liquid,6,fl oz/acre,22,fl oz/acre,,,
a1YOF000000YJEj2AO,United States,,Biological,,SPECTRUM + MYCO,BFMS Biological Farm Management System,Adjuvant,Dry,5.5,oz/acre,5.5,oz/acre,,,
a1YOF000000Lfxp2AC,United States,,Biological,,TERRA TROVE RESIDUE COMPLETE,DPH Biologicals,Furrow,Liquid,12.8,fl oz/acre,12.8,fl oz/acre,,,
a1Y4W000003eUOZUA2,United States,,Biological,,TERRATROVE SP-1,DPH Biologicals,Furrow,Liquid,2,gal/acre,10,gal/acre,,,
a1Y4W000003eV2yUAE,United States,,Biological,,TERRATROVE SP-1 CLASSIC,DPH Biologicals,Furrow,Liquid,2,gal/acre,10,gal/acre,,,21
