country,region,type,regulator number,name,producer,application method,formulation,min rate,max rate,rate UOM,min days between applications,REI (h),PHI (d),AI1,[AI1],[AI1]UOM,AI1 EIQ,AI2,[AI2],[AI2]UOM,AI2 EIQ,AI3,[AI3],[AI3]UOM,AI3 EIQ,AI4,[AI4],[AI4]UOM,AI4 EIQ
United States,,Fumigant,62719-348,INLINE SOIL FUMIGANT,SALT LAKE HOLDING LLC,Fumigation,Liquid,13,35,gal/acre,,120,,"1,3-dichloropropene",6.57,lb/gal,27.75,Chloropicrin,3.73,lb/gal,42.43333333,,,,,,,,
United States,,Fumigant,62719-302,TELONE C-35,SALT LAKE HOLDING LLC,Fumigation,Liquid,21.4,36,gal/acre,,120,,"1,3-dichloropropene",6.84,lb/gal,27.75,Chloropicrin,3.89,lb/gal,42.43333333,,,,,,,,
United States,Washington,Fumigant,11220-36-53766,STRIKE 80CP FUMIGANT,"TriEst Ag Group, Inc.",Fumigation,Liquid,17,34,gal/acre,,120,,"1,3-dichloropropene",2.5,lb/gal,27.75,Chloropicrin,10.3,lb/gal,42.43333333,,,,,,,,
United States,,Fumigant,62719-321,TELONE EC,SALT LAKE HOLDING LLC,Fumigation,Liquid,9,18,gal/acre,,120,,"1,3-dichloropropene",9.17,lb/gal,27.75,,,,,,,,,,,,
United States,,Fumigant,62719-32,TELONE II,SALT LAKE HOLDING LLC,Fumigation,Liquid,9,25,gal/acre,,120,,"1,3-dichloropropene",9.85,lb/gal,27.75,,,,,,,,,,,,
United States,,Seed Treatment,87320-2-5481,REJUVENATE,Amvac Chemical Corporation,Seed Treatment - Liquid,Liquid,0.115,0.16,fl oz/acre,,48,90,1-Naphthaleneacetic acid,0.44,lb/gal,17.77,,,,,,,,,,,,
United States,,Seed Treatment,87320-2,REJUVENATE SEED TREATMENT,"Stehekin, LLC",Seed Treatment - Liquid,Liquid,,0.16,fl oz/acre,,48,90,1-Naphthaleneacetic acid,0.44,lb/gal,17.77,,,,,,,,,,,,
Canada,,Field Herbicide - Post-emergence,27819,"2,4-D ESTER 700 HERBICIDE (IPCO)",Interprovincial Cooperative Limited,Foliar,Liquid,118.9,118.9,ml/ha,10,12,24,2-ethylhexyl ester,660,g/L,15.33333333,,,,,,,,,,,,
Canada,,Field Herbicide - Post-emergence,27818,"2,4-D ESTER 700 SALVO (LOVELAND)",Loveland Products Canada Inc.,Foliar,Liquid,118.9,118.9,ml/ha,10,12,24,2-ethylhexyl ester,660,g/L,15.33333333,,,,,,,,,,,,
United States,,Field Insecticide,279-3356,ATHENA INSECTICIDE,FMC Corporation,Foliar,Liquid,7,17,fl oz/acre,21,12,21,Abamectin,0.11,lb/gal,34.68333333,Bifenthrin,0.76,lb/gal,44.35,,,,,,,,
United States,,Field Insecticide,100-1592,MINECTO PRO INSECTICIDE,Syngenta Crop Protection,Foliar,Liquid,5.5,10,fl oz/acre,7,12,14,Abamectin,0.24,lb/gal,34.68333333,Cyantraniliprole,1.13,lb/gal,14.67,,,,,,,,
Canada,,Field Insecticide,33023,MINECTO PRO,"Syngenta Canada, Inc.",Foliar,Liquid,370,670,ml/ha,7,12,14,Abamectin,28.5,g/L,34.68333333,Cyantraniliprole,135,g/L,14.67,,,,,,,,
United States,,Field Insecticide,83100-4,ABACUS INSECTICIDE,"Rotam North America, Inc.",Foliar,Liquid,8,16,fl oz/acre,7,12,14,Abamectin,0.15,lb/gal,34.68333333,,,,,,,,,,,,
United States,Idaho,Field Insecticide,83100-59-83979,ABACUS V-6,"Rotam North America, Inc.",Foliar,Liquid,2.56,5.12,fl oz/acre,7,12,14,Abamectin,0.47,lb/gal,34.68333333,,,,,,,,,,,,
United States,Washington,Field Insecticide,83100-59-83979,ABACUS V-6,"Rotam North America, Inc.",Foliar,Liquid,2.56,5.12,fl oz/acre,7,12,14,Abamectin,0.47,lb/gal,34.68333333,,,,,,,,,,,,
United States,Wisconsin,Field Insecticide,83100-59-83979,ABACUS V-6,"Rotam North America, Inc.",Foliar,Liquid,2.56,5.12,fl oz/acre,7,12,14,Abamectin,0.47,lb/gal,34.68333333,,,,,,,,,,,,
United States,,Field Insecticide,228-658,ABAMECTIN 0.15 EC INSECTICIDE,Nufarm Americas Inc.,Foliar,Liquid,8,16,fl oz/acre,7,12,14,Abamectin,0.15,lb/gal,34.68333333,,,,,,,,,,,,
United States,,Field Insecticide,228-734,ABAMEX INSECTICIDE,Nufarm Americas Inc.,Foliar,Liquid,8,16,fl oz/acre,7,12,14,Abamectin,0.15,lb/gal,34.68333333,,,,,,,,,,,,
United States,,Field Insecticide,66222-139,ABBA 0.15 EC,"Makhteshim-Agan of North America, Inc.",Foliar,Liquid,8,16,fl oz/acre,7,12,14,Abamectin,0.15,lb/gal,34.68333333,,,,,,,,,,,,
United States,,Field Insecticide,66222-226,ABBA ULTRA,"Makhteshim-Agan of North America, Inc.",Foliar,Liquid,4,8,fl oz/acre,7,12,14,Abamectin,0.3,lb/gal,34.68333333,,,,,,,,,,,,
