NAME,type,EIQ,FRAC group code,HRAC group code,IRAC group code,notes
"1,2,3-Propanetriol, Dimethylbenzenesulfonic acid, sodium salt and alkyl phenol e",adjuvant,,,,,
"1,3-dichloropropene",fumigant,27.75,,,8A,
"1,4-Dimethylnaphthalene",pgr,,,,,
1-methylcyclopropene,pgr,,,,,
1-Naphthaleneacetic acid,pgr,17.77,,,,
1-Octanol,pgr,,,,,
1-octyl-2-pyrrolidone,adjuvant,,,,,
"2, 6-Diisopropylnaphthalene",pgr,,,,,
"2,6-Dichloro-4-nitroaniline",fungicide,23.67333,14,,,
2-ethylhexyl ester,herbicide,15.33333333,,O,,
"2-Hydroxy-1,2,3-propanetricarboxylic Acid",adjuvant,,,,,
3-decen-2-one,pgr,,,,,
3-Indolebutyric acid,pgr,,,,,
Abamectin,insecticide,34.68333333,,,6,"nematicide, acaricide"
Acetamiprid,insecticide,28.73333333,,,4A,
Aclonifen,herbicide,22.9167,,32,,
Actrobacter Globiformis,adjuvant,0,,,,
Afidopyropen,insecticide,11.17,,,9D,
Akyl Polyglycol Ether,adjuvant,,,,,
alcohol ethoxylate,adjuvant,,,,,
Aldicarb,insecticide,38.66666667,,,1A,nematicide
Algae,adjuvant,0,,,,
aliphatic alcohol ethoxylate,adjuvant,,,,,
Aliphatic Hydrocarbons,adjuvant,,,,,
alkoxylated alcohol,adjuvant,,,,,
Alkoxylated alcohols (EAC 1),adjuvant,,,,,
alkoxylated alkyl polyglucoside,adjuvant,,,,,
Alkoxylated Fatt,adjuvant,,,,,
Alkoxylated Fatty Amine,adjuvant,,,,,
Alkoxylated polyols,adjuvant,,,,,
alkoxylated soybean triglycerid,adjuvant,,,,,
Alkoxylated Tallow Amine,adjuvant,,,,,
alkoxylated triglycerides,adjuvant,,,,,
Alkyl amine ethoxylate,adjuvant,,,,,
Alkyl Aryl Polyethoxy Ethanol,adjuvant,,,,,
Alkyl Aryl Polyoxylkane,adjuvant,,,,,
Alkyl Ethoxylate,adjuvant,,,,,
Alkyl Phenol Ethoxylate,adjuvant,,,,,
Alkyl PolyGlucoside,adjuvant,,,,,
Alkyl Pyrrolidones,adjuvant,,,,,
Alkylamine Ethoxylate Propoxylate,adjuvant,,,,,
Alkylarylpolyoxyethylene glycols,adjuvant,,,,,
"Alkylarylpolyoxyethylene glycols, free fatty acids and IPA",adjuvant,,,,,
Alkylphenyl Hydroxypolyoxyethylene,adjuvant,,,,,
Alkylphenyl-hydroxypolyoxyethylene,adjuvant,,,,,
Allyloxypolyethylene Glycol Methyl Ether,adjuvant,,,,,
