CP ID,country,region,type,regulator number,name,registrant,application method,formulation,min rate,max rate,rate UOM,min days between applications,REI (h),PHI (d),AI1,[AI1],[AI1]UOM,AI2,[AI2],[AI2]UOM,AI3,[AI3],[AI3]UOM,AI4,[AI4],[AI4]UOM
a1YOF0000004Tt32AE,United States,Idaho,Adjuvant,,BRIMSTONE,WILBUR-ELLIS COMPANY LLC,Adjuvant,Liquid,32.0,128.0,fl oz/100gal,,,,"Monocarbamide dihydrogen sulfate, alkyl amine ethoxylate, 1,2,3-trihydroxypropan",80.0,%,,,,,,,,,
a1YOF0000004Tuf2AE,United States,Idaho,Adjuvant,,CROSSHAIR,WILBUR-ELLIS COMPANY LLC,Adjuvant,Liquid,4.0,4.0,fl oz/acre,,,,Modified vegetable oil,100.0,%,,,,,,,,,
a1YOF0000004TwH2AU,United States,Idaho,Adjuvant,,GLACIER-ES,Wilbur-Ellis Company LLC.,Adjuvant,Liquid,16.0,128.0,fl oz/100gal,,,,Methylated seed oil,96.0,%,,,,,,,,,
a1YOF0000004Tt32AE,United States,Maine,Adjuvant,,BRIMSTONE,WILBUR-ELLIS COMPANY LLC,Adjuvant,Liquid,32.0,128.0,fl oz/100gal,,,,"Monocarbamide dihydrogen sulfate, alkyl amine ethoxylate, 1,2,3-trihydroxypropan",80.0,%,,,,,,,,,
a1YOF0000004Tuf2AE,United States,Maine,Adjuvant,,CROSSHAIR,WILBUR-ELLIS COMPANY LLC,Adjuvant,Liquid,4.0,4.0,fl oz/acre,,,,Modified vegetable oil,100.0,%,,,,,,,,,
a1YOF0000004TwH2AU,United States,Maine,Adjuvant,,GLACIER-ES,Wilbur-Ellis Company LLC.,Adjuvant,Liquid,16.0,128.0,fl oz/100gal,,,,Methylated seed oil,96.0,%,,,,,,,,,
a1YOF0000004Tt32AE,United States,Washington,Adjuvant,,BRIMSTONE,WILBUR-ELLIS COMPANY LLC,Adjuvant,Liquid,32.0,128.0,fl oz/100gal,,,,"Monocarbamide dihydrogen sulfate, alkyl amine ethoxylate, 1,2,3-trihydroxypropan",80.0,%,,,,,,,,,
a1YOF0000004Tt32AE,United States,Washington,Adjuvant,,BRIMSTONE,WILBUR-ELLIS COMPANY LLC,Chemigation,Liquid,32.0,128.0,fl oz/100gal,,,,"Monocarbamide dihydrogen sulfate, alkyl amine ethoxylate, 1,2,3-trihydroxypropan",80.0,%,,,,,,,,,
a1YOF0000004Tuf2AE,United States,Washington,Adjuvant,,CROSSHAIR,WILBUR-ELLIS COMPANY LLC,Adjuvant,Liquid,4.0,4.0,fl oz/acre,,,,Modified vegetable oil,100.0,%,,,,,,,,,
a1YOF0000004Tuf2AE,United States,Washington,Adjuvant,,CROSSHAIR,WILBUR-ELLIS COMPANY LLC,Chemigation,Liquid,4.0,4.0,fl oz/acre,,,,Modified vegetable oil,100.0,%,,,,,,,,,
a1YOF0000004TwH2AU,United States,Washington,Adjuvant,,GLACIER-ES,Wilbur-Ellis Company LLC.,Adjuvant,Liquid,16.0,128.0,fl oz/100gal,,,,Methylated seed oil,96.0,%,,,,,,,,,
a1YOF0000004TwH2AU,United States,Washington,Adjuvant,,GLACIER-ES,Wilbur-Ellis Company LLC.,Chemigation,Liquid,16.0,128.0,fl oz/100gal,,,,Methylated seed oil,96.0,%,,,,,,,,,
a1YOF0000004Tt32AE,United States,Wisconsin,Adjuvant,,BRIMSTONE,WILBUR-ELLIS COMPANY LLC,Adjuvant,Liquid,32.0,128.0,fl oz/100gal,,,,"Monocarbamide dihydrogen sulfate, alkyl amine ethoxylate, 1,2,3-trihydroxypropan",80.0,%,,,,,,,,,
a1YOF0000004Tuf2AE,United States,Wisconsin,Adjuvant,,CROSSHAIR,WILBUR-ELLIS COMPANY LLC,Adjuvant,Liquid,4.0,4.0,fl oz/acre,,,,Modified vegetable oil,100.0,%,,,,,,,,,
a1YOF0000004TwH2AU,United States,Wisconsin,Adjuvant,,GLACIER-ES,Wilbur-Ellis Company LLC.,Adjuvant,Liquid,16.0,128.0,fl oz/100gal,,,,Methylated seed oil,96.0,%,,,,,,,,,
a1Y4W000004CvjMUAS,Canada,,Adjuvant,,28% UAN,BASF,Adjuvant,Liquid,0.1,0.809,L/acre,,,,Urea – Ammonium nitrate,100.0,%,,,,,,,,,
a1YOF000000JqkT2AS,Canada,,Adjuvant,,AGTIV REACH,Taurs,Adjuvant,Liquid,237.0,237.0,ml/ha,,,,mycorrhizae,100.0,%,,,,,,,,,
a1Y4W000002lrzZUAQ,Canada,,Adjuvant,,Ammonium Sulfate,,Adjuvant,Liquid,1.0,99.0,L/acre,,,,,400.0,g/L,,,,,,,,,
a1Y4W000003eV3wUAE,Canada,,Adjuvant,,AMMONIUM SULPHATE UTILITY MODIFIER,Bayer Crop Science,Adjuvant,Liquid,10.0,10.0,L/ha,,,,Ammonium Sulphate,400.0,g/L,,,,,,,,,
a1YOF000000jX9V2AU,Canada,,Adjuvant,,AMS - Ammonium Sulphate Utility Modifier,,Adjuvant,Liquid,500.0,1000.0,ml/acre,,,,Ammonium Sulfate,99.0,%,,,,,,,,,
a1Y4W000002w8FnUAI,Canada,,Adjuvant,,ENVITA Microbial Inoculant,Azotic Technologies Ltd.,Foliar,Liquid,0.15,0.73,L/ha,,,,Gluconacetobacter diazotrophicus,107.0,CFUnitml,,,,,,,,,
a1Y4W000002w8FnUAI,Canada,,Adjuvant,,ENVITA Microbial Inoculant,Azotic Technologies Ltd.,Furrow,Liquid,23.0,23.0,L/ha,,,,Gluconacetobacter diazotrophicus,107.0,CFUnitml,,,,,,,,,
a1Y4W000002w8FnUAI,Canada,,Adjuvant,,ENVITA Microbial Inoculant,Azotic Technologies Ltd.,Seed,Liquid,13.0,17.0,ml/cwt,,,,Gluconacetobacter diazotrophicus,107.0,CFUnitml,,,,,,,,,
