region,product type,product name,producer name,regulator number,application method,label minimum rate,label maximum rate,label suggested rate,rate UOM,number of AI,AI1,AI1 eiq,AI1 group,AI1_concentration_%,AI2,AI2 eiq,AI2 group,AI2_concentration_%,AI3,AI3 eiq,AI3 group,AI3_concentration_%,AI4,AI4 eiq,AI4 group,AI4_concentration_%,eiq total,min days between applications,REI (hours),PHI (days)
CA,Storage Sprout Inhibitor,"1,4SEED","1,4 Group, Inc",29838,Storage Treatment - Ventilation,10.0,20.0,80.0,ppm,1,"1,4-Dimethylnaphthalene",,,2.6,,,,,,,,,,,,,,30.0,,
CA,Storage Sprout Inhibitor,"1,4SHIP","1,4 Group, Inc",29836,Storage Treatment - Ventilation,6.76,6.76,,ppm,1,"1,4-Dimethylnaphthalene",,,9.2,,,,,,,,,,,,,,,,
CA,Storage Sprout Inhibitor,"1,4SIGHT","1,4 Group, Inc",29837,Storage Treatment - Ventilation,10.0,20.0,80.0,ppm,1,"1,4-Dimethylnaphthalene",,,12.9,,,,,,,,,,,,,,30.0,,
CA,Storage Sprout Inhibitor,DECCO DMN AEROSOL,"DECCO U.S. POST-HARVEST, INC.",34560,Storage Treatment - Ventilation,10.0,20.0,80.0,ml / t,1,"1,4-Dimethylnaphthalene",,,1.4,,,,,,,,,,,,,,,,
USA,Fumigant,INLINE SOIL FUMIGANT,SALT LAKE HOLDING LLC,62719-348,Fumigation,13.0,35.0,,gal / ac,2,"1,3-dichloropropene",44.0,,5.3,Chloropicrin,,,3.2,,,,,,,,,,,,
USA,Fumigant,TELONE C-35,SALT LAKE HOLDING LLC,62719-302,Fumigation,21.4,36.0,,gal / ac,2,"1,3-dichloropropene",44.0,,10.8,Chloropicrin,,,14.1,,,,,,,,,,,,
USA,Fumigant,TELONE EC,SALT LAKE HOLDING LLC,62719-321,Fumigation,9.0,18.0,,gal / ac,1,"1,3-dichloropropene",44.0,,13.3,,,,,,,,,,,,,,,,
USA,Fumigant,TELONE II,SALT LAKE HOLDING LLC,62719-32,Fumigation,9.0,25.0,,gal / ac,1,"1,3-dichloropropene",44.0,,3.6,,,,,,,,,,,,,,,,
USA,Fumigant,STRIKE 80CP FUMIGANT,"TriEst Ag Group, Inc.",11220-36-53766,Fumigation,17.0,34.0,34.0,gal / ac,2,"1,3-dichloropropene",44.0,,11.6,Chloropicrin,,,7.9,,,,,,,,,,,,
USA,Seed Treatment,REJUVENATE,Amvac Chemical Corporation,87320-2-5481,Seed Treatment - Liquid,0.115,0.16,,fl oz/acre,1,1-Naphthaleneacetic acid,45.0,,9.3,,,,,,,,,,,,,,,,
USA,Seed Treatment,REJUVENATE SEED TREATMENT,"Stehekin, LLC",87320-2,Seed Treatment - Liquid,,0.16,0.16,fl oz/acre,1,1-Naphthaleneacetic acid,45.0,,9.8,,,,,,,,,,,,,,,,
CA,Storage Sprout Inhibitor,"1,4ZAP","1,4 Group, Inc",33492,Storage Treatment - Ventilation,40.0,100.0,400.0,ppm,1,1-Octanol,,,11.0,,,,,,,,,,,,,,,,
USA,Storage Sprout Inhibitor,"1,4ZAP","1,4GROUP, Inc.",67727-7,Storage Treatment - Ventilation,,100.0,400.0,ppm,1,1-Octanol,,,5.2,,,,,,,,,,,,,,,,
USA,Storage Sprout Inhibitor,AMPLIFY II,Loveland Products Inc.,34704-1048,Storage Treatment - Ventilation,2.5,25.0,25.0,ppm,1,2- 6-Diisopropylnaphthalene,,,3.0,,,,,,,,,,,,,,,,
CA,Storage Sprout Inhibitor,AMPLIFY II,Aceto Agricultural Chemicals Corp.,33110,Storage Treatment - Ventilation,0.003,0.025,0.025,kg / t,1,2-6-Diisopropylnaphthalene,,,12.8,,,,,,,,,,,,,,,,
CA,Field Herbicide,2-4-D ESTER 700 HERBICIDE (IPCO),Interprovincial Cooperative Limited,27819,Foliar,118.9,118.9,,ml / ha,1,2-ethylhexyl ester,,,12.4,,,,,,,,,,,,,,,,
CA,Field Herbicide,2-4-D ESTER 700 SALVO (LOVELAND),Loveland Products Canada Inc.,27818,Foliar,118.9,118.9,,ml / ha,1,2-ethylhexyl ester,,,13.8,,,,,,,,,,,,,,,,
CA,Storage Sprout Inhibitor,SMARTBLOCK,Amvac Chemical Corp,30889,Storage Treatment - Ventilation,137.5,137.5,550.0,ml / t,1,3-decen-2-one,,,8.6,,,,,,,,,,,,,,,,
USA,Storage Sprout Inhibitor,SMARTBLOCK,Amvac Chemical Corporation,5481-571,Storage Treatment - Ventilation,,4.2,16.8,fl oz/t,1,3-decen-2-one,,,12.5,,,,,,,,,,,,,,,,
USA,Plant Growth Regulator,RECEPTOR,HELENA CHEMICAL COMPANY,5905-594,Foliar,1.0,2.0,,pt / ac,3,3-Indolebutyric acid,,,12.1,Gibberellic acid,,,9.7,Kinetin,,,1.3,,,,,,,,
USA,Plant Growth Regulator,RECEPTOR,HELENA CHEMICAL COMPANY,5905-594,Furrow,1.0,2.0,,pt / ac,3,3-Indolebutyric acid,,,10.1,Gibberellic acid,,,14.4,Kinetin,,,9.4,,,,,,,,
USA,Plant Growth Regulator,RADIATE,"LOVELAND PRODUCTS, INC.",34704-909,Foliar,2.0,2.0,,fl oz/acre,2,3-Indolebutyric acid,,,2.4,Cytokinin,,,12.0,,,,,,,,,,,,
USA,Field Insecticide,ENTERIK .15LV,"Atticus, LLC",91234-51,Foliar,8.0,16.0,48.0,fl oz/acre,1,Abamectin,108.1666667,,2.4,,,,,,,,,,,,,,,,
USA,Field Insecticide,ENTERIK 0.7 SC,"Atticus, LLC",91234-252,Foliar,1.75,3.5,10.25,fl oz/acre,1,Abamectin,108.1666667,,3.9,,,,,,,,,,,,,,,,
USA,Field Insecticide,ATHENA INSECTICIDE,FMC Corporation,279-3356,Foliar,7.0,17.0,42.0,fl oz/acre,2,Abamectin,108.1666667,,11.6,Bifenthrin,,,6.6,,,,,,,,,,,,
USA,Field Insecticide,REAPER 0.15 EC,Loveland Products Inc.,34704-923,Foliar,8.0,16.0,48.0,fl oz/acre,1,Abamectin,108.1666667,,3.2,,,,,,,,,,,,,,,,
USA,Field Insecticide,REAPER CLEARFORM,Loveland Products Inc.,34704-1078,Foliar,8.0,16.0,48.0,fl oz/acre,1,Abamectin,108.1666667,,11.9,,,,,,,,,,,,,,,,
USA,Field Insecticide,ABBA 0.15 EC,"Makhteshim-Agan of North America, Inc.",66222-139,Foliar,8.0,16.0,48.0,fl oz/acre,1,Abamectin,108.1666667,,13.0,,,,,,,,,,,,,,,,
USA,Field Insecticide,ABBA ULTRA,"Makhteshim-Agan of North America, Inc.",66222-226,Foliar,4.0,8.0,24.0,fl oz/acre,1,Abamectin,108.1666667,,10.6,,,,,,,,,,,,,,,,
USA,Field Insecticide,ABAMECTIN 0.15 EC INSECTICIDE,Nufarm Americas Inc.,228-658,Foliar,8.0,16.0,48.0,fl oz/acre,1,Abamectin,108.1666667,,1.7,,,,,,,,,,,,,,7.0,,
