CP ID,Name,Concentration_Amount__c,UOM Master.Short_Name__c,Formulation__c
a1Y4W000002ldhLUAQ,,,%,Dry
a1Y4W000002lgbhUAA,polymeric terpene coating agent,,g/L,Liquid
a1Y4W000002lgbTUAQ,Modified Heptamethyl Trisiloxane,,%,Liquid
a1Y4W000002lgcZUAQ,Valifenalate,,%,Dry
a1YOF00000028BB2AY,Clomazone,,%,Liquid
a1YOF000000bjm92AA,Verimcompost,,%,Liquid
a1YOF000000bjz32AA,Worm Cast,,%,Dry
a1YOF000000ig5B2AQ,Calcium Oxide,,%,Dry
a1YOF000000Lfxp2AC,Bacillus Mix,,CFUnitml,Liquid
a1YOF0000002rg92AA,Gibberellic acid,0.0026,%,Liquid
a1YOF0000002rg92AA,3-Indolebutyric acid,0.0042,%,Liquid
a1YOF000000M52f2AC,3-Indolebutyric acid,0.005,%,Liquid
a1YOF000000M52f2AC,Gibberellic acid,0.005,%,Liquid
a1YOF000000M52f2AC,Indole acetic acid,0.005,%,Liquid
a1YOF0000002rg92AA,Kinetin,0.0084,%,Liquid
a1YOF000000M52f2AC,Cytokinin,0.009,%,Liquid
a1Y4W000002lTaLUAU,Gibberellic acid,0.01,lb/gal,Liquid
a1Y4W000002lTaLUAU,Indole acetic acid,0.01,lb/gal,Liquid
a1Y4W000002lTaLUAU,Indole butyric acid,0.01,lb/gal,Liquid
a1Y4W000002lTaLUAU,Kinetin,0.01,lb/gal,Liquid
a1Y4W000002lTTqUAM,Abamectin,0.011,%,Dry
a1Y4W000002lTYlUAM,Chlorine dioxide,0.02,%,Liquid
a1Y4W000002lTSVUA2,Chlorine dioxide,0.05,%,Liquid
a1Y4W000002lTXtUAM,Oxathiapiprolin,0.05,lb/gal,Liquid
a1Y4W000002lTZcUAM,Peroxyacetic acid,0.055,lb/gal,Liquid
a1Y4W000002lTVSUA2,Nuclear polyhedrosis virus,0.06,lb/gal,Liquid
a1YOF000000EQ5t2AG,Ledprona,0.067,lb/gal,Liquid
a1Y4W000002lTYXUA2,Sodium Tetraborohydrate Decahydrate,0.084,lb/gal,Liquid
a1Y4W000002lTSkUAM,Azadirachtin,0.0987,lb/gal,Liquid
a1Y4W000002lp0CUAQ,Polyvinyl alcohol,0.1,%,Liquid
a1YOF0000001yyD2AQ,Silicon dioxide and humic acid,0.1,%,Liquid
a1Y4W000002lTSeUAM,Abamectin,0.11,lb/gal,Liquid
a1Y4W000002lTYnUAM,Pyrethrin,0.11,lb/gal,Liquid
a1Y4W000002lTWSUA2,Sodium hypochlorite,0.125,%,Liquid
a1YOF000000g6fJ2AQ,Bacillus amyloliquefaciens strain ENV503,0.149,%,Dry
a1Y4W000002lTRzUAM,Abamectin,0.15,lb/gal,Liquid
a1Y4W000002lTS1UAM,Abamectin,0.15,lb/gal,Liquid
a1Y4W000002lTS2UAM,Abamectin,0.15,lb/gal,Liquid
a1Y4W000002lTS3UAM,Abamectin,0.15,lb/gal,Liquid
a1Y4W000002lTSIUA2,Abamectin,0.15,lb/gal,Liquid
a1Y4W000002lTUpUAM,Benzovindiflupyr,0.15,lb/gal,Dry
a1Y4W000002lTUsUAM,Prothioconazole,0.15,lb/gal,Liquid
a1Y4W000002lTUxUAM,Abamectin,0.15,lb/gal,Liquid
a1Y4W000002lTYxUAM,Abamectin,0.15,lb/gal,Liquid
a1Y4W000002lTYyUAM,Abamectin,0.15,lb/gal,Liquid
a1Y4W000004CxHXUA0,Cytokinin,0.15,%,Liquid
a1YOF0000000zEn2AI,Abamectin,0.15,lb/gal,Liquid
a1Y4W000002lTaMUAU,Peroxyacetic acid,0.18,lb/gal,Liquid
a1Y4W000002lTRaUAM,Peroxyacetic acid,0.18,lb/gal,Liquid
a1Y4W000003eUGfUAM,polymeric polyhydroxy acids,0.18,%,Liquid
a1Y4W000002lTVtUAM,Capsaicin,0.2,lb/gal,Liquid
a1Y4W000002lTbYUAU,Pyraflufen ethyl,0.208,lb/gal,Liquid
a1Y4W000002lTV4UAM,Pyraflufen ethyl,0.208,lb/gal,Liquid
a1Y4W000002lTWeUAM,Copper sulfate pentahydrate,0.214,%,Liquid
a1Y4W000002lTZcUAM,Hydrogen peroxide,0.23,lb/gal,Liquid
a1Y4W000002lTX4UAM,Abamectin,0.24,lb/gal,Liquid
a1Y4W000002lsY2UAI,Oxathiapiprolin,0.25,lb/gal,Liquid
a1YOF000000dfZZ2AY,Humic Acids,0.25,%,Liquid
a1YOF000000fRc92AE,Carfentrazone,0.267,lb/gal,Liquid
a1Y4W000002lgeRUAQ,Gibberellic acid,0.27,lb/gal,Liquid
a1Y4W000002lTV8UAM,Gibberellic acid,0.27,lb/gal,Liquid
a1Y4W000002lgeSUAQ,Gibberellic acid,0.28,lb/gal,Liquid
a1Y4W000002lTVVUA2,Gibberellic acid,0.28,lb/gal,Liquid
a1Y4W000004CvzuUAC,Oxathiapiprolin,0.29,lb/gal,Liquid
a1Y4W000002lTS4UAM,Abamectin,0.3,lb/gal,Liquid
a1YOF000000fOXp2AM,Indoxacarb,0.3,lb/gal,Dry
a1Y4W000002lTVrUAM,Zeta-cypermethrin,0.31,lb/gal,Liquid
a1YOF000000SalJ2AS,Sulfoxaflor,0.31,lb/gal,Liquid
a1Y4W000002lTU7UAM,Fludioxonil,0.32,lb/gal,Liquid
a1Y4W000002lTU8UAM,Fludioxonil,0.32,lb/gal,Liquid
a1Y4W000002lTZHUA2,Mefenoxam (soil),0.33,lb/gal,Liquid
a1Y4W000002lTXOUA2,Azadirachtin,0.39,lb/gal,Liquid
a1Y4W000002lTRuUAM,Lambda-cyhalothrin,0.417,lb/gal,Liquid
a1Y4W000002lTSzUAM,Lambda-cyhalothrin,0.417,lb/gal,Liquid
a1Y4W000002lTVpUAM,Cyantraniliprole,0.42,lb/gal,Liquid
a1Y4W000002lTZnUAM,Afidopyropen,0.42,lb/gal,Liquid
a1Y4W000002lTT6UAM,Clove Oil,0.435,%,Liquid
a1Y4W000002lTZ4UAM,1-Naphthaleneacetic acid,0.44,lb/gal,Liquid
a1YOF0000000uWr2AI,1-Naphthaleneacetic acid,0.44,lb/gal,Liquid
a1Y4W000002lTW2UAM,Peroxyacetic acid,0.467,lb/gal,Liquid
a1Y4W000002lTS0UAM,Abamectin,0.47,lb/gal,Liquid
a1Y4W000002lTjPUAU,Fludioxonil,0.5,%,Dry
a1Y4W000002lTSiUAM,Bifenthrin,0.5,lb/gal,Liquid
a1Y4W000002lTSiUAM,Imidacloprid,0.5,lb/gal,Liquid
a1Y4W000002lTWiUAM,Fludioxonil,0.5,%,Dry
a1Y4W000002lTWjUAM,Fludioxonil,0.5,%,Dry
a1Y4W000002lTYoUAM,Azoxystrobin,0.5,lb/gal,Liquid
a1Y4W000003eUOZUA2,Bacillus amyloliquefaciens subspecies plantarum strain FZB42,0.5,%,Liquid
a1Y4W000002lTiBUAU,Endothall,0.52,lb/gal,Liquid
a1Y4W000002lTRKUA2,Fludioxonil,0.52,lb/gal,Liquid
a1Y4W000002lgahUAA,Pseudomonas sp. Strain DSMZ 13134,0.54,%,Dry
a1Y4W000002lTRtUAM,Difenoconazole,0.64,lb/gal,Liquid
a1Y4W000002lTRtUAM,Sedaxane,0.64,lb/gal,Liquid
a1Y4W000002lTU7UAM,Difenoconazole,0.64,lb/gal,Liquid
a1Y4W000002lTU7UAM,Sedaxane,0.64,lb/gal,Liquid
a1Y4W000002lTU8UAM,Difenoconazole,0.64,lb/gal,Liquid
a1Y4W000002lTU8UAM,Sedaxane,0.64,lb/gal,Liquid
a1Y4W000002lTSbUAM,Esfenvalerate,0.66,lb/gal,Liquid
a1Y4W000002lTZxUAM,Esfenvalerate,0.66,lb/gal,Liquid
a1Y4W000002lTRJUA2,Acetamiprid,0.67,lb/gal,Liquid
